"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
34.4473996026368,24.0067831613123,23.3621054445393,24.8701014346443,20.2797794668004,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1
34.2777057632662,24.0823233197443,24.5741787506267,21.1027030902915,23.8660643773619,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
34.2130673655804,22.5977564346977,20.7043917814735,20.9367347613443,22.2308969858568,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0
34.5019708526682,24.7026079916395,21.8572176375892,21.4429617824499,20.0051573140081,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
34.2769151223022,23.3696138195228,24.1033967235126,24.0194238047116,20.5759969900828,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1
34.5160955561807,24.9150773428846,20.5345055263024,21.7757142265327,21.8004970520269,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0
34.9110120842047,24.8770147946198,21.509958493989,22.3150425800122,21.5214231482241,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1
34.1204637111575,23.4580765280407,23.9084021409508,20.1094949047547,21.1290519603062,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0
33.7033694483108,24.7381783847231,24.8420142440591,21.676960590994,23.1572516390588,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
34.4646209913954,21.57412546454,24.719326319173,22.112659298582,21.2600377795752,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1
33.8952084794285,24.564550537616,21.4529167092405,22.1109496313147,22.8924802085385,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1
34.710779588987,23.8248311716598,21.381780236261,21.4173959661275,20.2010181394871,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
32.9070638200251,21.8386340478901,21.9584036478773,21.1769057926722,24.1944594576489,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0
33.7675615879621,21.0656911076512,23.1753043469507,20.9727296989877,22.8031165059656,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
34.3953848611688,20.8487360260915,21.0574590868782,24.0677871205844,20.644277309766,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0
34.8148375614617,20.8697548368946,22.1175661857706,24.3385105452035,22.8908519109245,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
32.6632477645019,20.4050556325819,20.2329965517856,22.1132282458711,23.1290685094427,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1
34.9788994249562,24.2549544316716,22.5842180219479,22.8412670490798,20.7857564196456,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1
34.0639204373754,23.3648230170365,23.0991399649065,23.1004883453716,22.9971461067908,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
34.2408226941342,24.2125896143261,23.966790883569,20.760558048496,24.8647107114084,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0
